"DMS_ORIG","DMS_DEST","DMS_MODE","Total KTons in 2015","Total KTons in 2020","Total KTons in 2025","Total KTons in 2030","Total KTons in 2035","Total KTons in 2040","Total KTons in 2045"
"Los Angeles CA","Los Angeles CA","Truck","337125.945969401","398742.970991991","452355.35731544","490669.426586","536803.0391551","590512.892849701","640582.4615347"
"Los Angeles CA","Sacramento CA","Truck","2501.237159137","4115.992832285","5716.020454938","6078.173478367","6912.442311148","7451.232027088","8087.28241507799"
"Los Angeles CA","San Diego CA","Truck","15764.570993175","19378.721128376","22451.087662374","24381.412819766","26733.466274696","29285.944038112","32285.264719623"
"Los Angeles CA","San Francisco CA","Truck","7546.112061888","10692.685477187","13686.381184362","14680.946636389","16503.230943059","18035.378592309","19708.000641639"
"Los Angeles CA","Fresno CA","Truck","2654.61872120951","2910.19417732159","3137.52219703812","3371.23530838068","3634.4167487672","3934.3644928137","4260.2133765164"
"Los Angeles CA","Rest of CA","Truck","11348.337783569","15042.604986453","18354.896228978","19428.546548388","21457.901719228","23177.190399618","25134.458305299"
"Sacramento CA","Los Angeles CA","Truck","986.48544086343","1115.1421302287","1235.3886946596","1336.0305879976","1463.9632737984","1634.3466788038","1785.6533759335"
"Sacramento CA","Sacramento CA","Truck","35639.810195344","40361.962772469","43762.974130672","44886.621310548","46201.216770405","47455.91795998","49594.69418235"
"Sacramento CA","San Diego CA","Truck","189.18625952758","243.34818172205","300.44158818177","338.39690435628","386.8082240133","453.1131444363","536.7679733953"
"Sacramento CA","San Francisco CA","Truck","9396.1651244935","10734.453563396","11544.084353442","11955.942689445","12364.451014238","12902.912159805","14758.912268063"
"Sacramento CA","Fresno CA","Truck","1173.31286691355","1263.5338460469","1323.5757417641","1360.8115241484","1394.3932649025","1441.0222668112","1487.1951758637"
"Sacramento CA","Rest of CA","Truck","7934.5716270341","9132.491428507","9855.462535069","10169.123201614","10481.629309861","10771.985485174","11247.783038251"
"San Diego CA","Los Angeles CA","Truck","4054.32318540192","4860.27240458135","5784.44762974428","6898.93582648523","8333.77759291787","10375.7830646747","12166.9325950907"
"San Diego CA","Sacramento CA","Truck","197.71081","240.92712","291.17373","352.67933","433.22564","545.28024","649.49135"
"San Diego CA","San Diego CA","Truck","35070.5009162809","36825.919567205","38247.787918479","39542.876169821","41539.975480271","43535.310293905","46001.831610245"
"San Diego CA","San Francisco CA","Truck","1552.01998389894","1898.79246423956","2293.31765092286","2779.60705586227","3417.16085684042","4303.15778534771","5122.31232578099"
"San Diego CA","Fresno CA","Truck","175.264405384183","192.758865424685","210.965051362088","233.878888468654","261.40531829196","299.432282747169","336.740360310097"
"San Diego CA","Rest of CA","Truck","619.998781791715","696.615525327723","787.670185809245","895.138469619396","1030.68299795396","1228.13177758915","1424.8751095105"
"San Francisco CA","Los Angeles CA","Truck","7019.28994955801","7973.7466027882","8915.3438139918","9727.388637536","10642.2953519334","11786.690441053","12993.303288903"
"San Francisco CA","Sacramento CA","Truck","8688.68436774759","9479.13807214461","10167.8106897136","10845.7554874568","11535.7966908443","12258.3579989973","13211.3381127422"
"San Francisco CA","San Diego CA","Truck","1435.7836021257","1695.40272872367","2007.48860555298","2310.32527382606","2673.32956149801","3232.82183329388","3829.71084973914"
"San Francisco CA","San Francisco CA","Truck","141635.756369326","156899.603634449","168528.077386758","178368.290752614","190835.972607204","206382.05681179","206760.4157812"
"San Francisco CA","Fresno CA","Truck","2844.77667681663","3160.56642869195","3388.87917736698","3654.95560592196","3982.67102164912","4393.31100350716","4843.31692053636"
"San Francisco CA","Rest of CA","Truck","18081.0727685006","19492.8018665533","20205.0813495922","20904.6897569873","21603.5247173844","22494.2680057194","23763.477435493"
"Fresno CA","Los Angeles CA","Truck","1522.93788980421","1695.3522758751","1854.98176646324","1998.00793236738","2133.38727542483","2298.14176103257","2499.8784708068"
"Fresno CA","Sacramento CA","Truck","405.707","443.8822","478.6423","514.5425","542.9155","565.1313","592.5723"
"Fresno CA","San Diego CA","Truck","158.005498","181.600197","208.475596","232.802394","259.431381","296.850476","344.291371"
"Fresno CA","San Francisco CA","Truck","3163.2027321612","3425.7570423172","3658.90173131799","3867.69096698383","4025.52969652486","4251.92896291385","4651.92571318779"
"Fresno CA","Fresno CA","Truck","21139.806733366","23235.819133155","24513.131570948","25186.201780344","26016.904901173","26814.336307469","27960.263028465"
"Fresno CA","Rest of CA","Truck","11621.4034077035","12786.482760592","13759.587216057","14325.83195362","14726.933508915","15149.496901289","15719.880057801"
"Rest of CA","Los Angeles CA","Truck","15737.026325369","18306.803459338","20596.890796642","22195.90604143","24178.196535292","26681.686322833","29484.013459773"
"Rest of CA","Sacramento CA","Truck","6343.0211398554","6580.025794637","6889.6288841347","7150.1176500977","7312.4162464032","7592.2023903857","8023.3997210483"
"Rest of CA","San Diego CA","Truck","1278.81064875377","1495.38183543135","1706.06062386316","1881.9495947429","2082.0471036047","2347.6618266016","2687.0393721278"
"Rest of CA","San Francisco CA","Truck","10894.4894001408","12087.4649086065","12952.2234856643","13858.9264617018","14762.6564041219","15871.8160694846","18263.8578957624"
"Rest of CA","Fresno CA","Truck","13064.9612578965","13772.902868093","14558.535534475","15183.413904909","15674.508191953","16337.133210369","17301.322286501"
"Rest of CA","Rest of CA","Truck","115038.594302186","124455.188393673","130091.603125409","134729.866900148","140502.160509604","146730.12596635","154373.48403315"
