node_id,node_name,lon,lat,OD
1,Redding,-122.360642,40.58545,1
2,Red Bluff,-122.224084,40.179209,1
3,Dunnigan,-121.953458,38.860841,0
4,Woodland,-121.755159,38.689872,0
5,SMF,-121.59364,38.67109,1
6,Sacramento,-121.511491,38.567917,1
7,Roseville,-121.271214,38.743535,1
8,Elk Grove,-121.388703,38.408947,0
9,Lodi,-121.257655,38.117952,0
10,Davis,-121.767962,38.522138,0
11,Vacaville,-121.954351,38.372705,0
12,Richmond,-122.326836,37.935728,1
13,Oakland,-122.279569,37.800501,1
14,San Francisco,-122.4068,37.773857,1
15,Port of SF,-122.403985,37.748918,1
16,SFO,-122.396905,37.613703,1
17,San Jose,-121.901155,37.363853,1
18,Hayward,-122.093808,37.644935,1
19,Stockton,-121.300953,37.948402,1
20,Tracy,-121.331654,37.767452,0
21,I-5 & CA-152,-120.970113,37.056776,0
22,Wheeler Ridge,-118.950957,35.003797,0
23,Modesto,-121.007921,37.639929,0
24,Merced,-120.493188,37.300335,0
25,Fresno,-119.815736,36.741149,1
26,Bakersfield,-119.039648,35.353222,0
27,San Fernando,-118.470854,34.294208,0
28,Santa Monica,-118.432848,34.030219,0
29,LAX,-118.368544,33.93098,1
31,San Pedro Bay Ports,-118.208378,33.767051,1
32,I-405 & I-710,-118.207721,33.827017,0
33,Irvine,-117.730865,33.638946,1
34,East LA,-118.173205,34.016108,0
35,Downtown LA,-118.214046,34.028854,1
36,Cal State LA,-118.165326,34.061096,0
37,Ontario,-117.590824,34.067459,1
38,Sun Valley,-118.410964,34.233786,0
39,San Diego,-117.141815,32.700506,1
40,Vallejo,-122.230531,38.09157,0
41,San Mateo,-122.296767,37.553879,0
42,Gilroy,-121.556439,37.002082,0
43,Chevron Firebaugh,-120.62202,36.638199,0
44,Harris Ranch,-120.243537,36.253328,0
45,Hillcrest Travel Plaza,-120.102623,36.076994,0
46,Kettleman City,-119.960425,35.981574,0
47,Lost Hills,-119.655239,35.618619,0
48,Buttonwillow,-119.399851,35.400492,0
49,Flag City,-121.399425,38.118616,0
50,Ripon,-121.143354,37.752922,0
51,Livingston,-120.737311,37.390738,0
52,Chowchilla,-120.216793,37.098864,0
53,Pilot Travel Center Madera,-120.130836,37.01997,0
54,Herndon,-119.917683,36.83218,0
55,Malaga,-119.743093,36.679182,0
56,Shell Truck Stop Fowler,-119.663406,36.607239,0
57,Selma Valero Gas Staion,-119.596709,36.547321,0
58,Traver,-119.49055,36.451963,0
59,Goshen,-119.427755,36.349499,0
60,Tulare,-119.328694,36.182343,0
61,Tipton,-119.310989,36.052756,0
62,Pixley,-119.292575,35.971757,0
63,Earlimart,-119.275005,35.893395,0
64,Akal Travel Plaza,-119.258981,35.820819,0
65,Flying J Travel Plaza Bakersfield,-119.189969,35.53009,0
66,Bear Mountain Truck Stop,-119.01046,35.208693,0
67,Lebec,-118.873787,34.825707,0
68,Castaic,-118.622253,34.493555,0
69,Fontana,-117.438134,34.067083,0
70,Oceanside,-117.38288,33.204365,0
71,Willows,-122.21488,39.525656,0
72,Orland,-122.205669,39.750768,0
73,Rolling Hills Casino,-122.200252,39.88153,0
74,Corning,-122.200326,39.906843,0
75,Cottonwood,-122.284298,40.367499,0
76,TA Redding,-122.338614,40.506086,0
