orig_node_id,dest_node_id,NodeNode_trips
13,18,40940.5
18,13,40940.5
12,13,3447.5
12,18,3447.5
25,13,245.0
25,18,245.0
29,13,77.33333333333333
29,18,77.33333333333333
31,13,77.33333333333333
31,18,77.33333333333333
35,13,77.33333333333333
35,18,77.33333333333333
33,13,67.5
33,18,67.5
7,13,99.0
7,18,99.0
5,13,197.25
5,18,197.25
6,13,197.25
6,18,197.25
37,13,36.0
37,18,36.0
39,13,48.5
39,18,48.5
14,13,4644.5
14,18,4644.5
15,13,4644.5
15,18,4644.5
19,13,803.5
19,18,803.5
16,13,1645.0
16,18,1645.0
17,13,5851.5
17,18,5851.5
1,13,20.0
1,18,20.0
2,13,28.5
2,18,28.5
13,12,3200.5
18,12,3200.5
25,12,271.0
29,12,96.0
31,12,96.0
35,12,96.0
33,12,56.0
7,12,127.0
5,12,312.0
6,12,312.0
37,12,22.0
39,12,49.0
14,12,4008.0
15,12,4008.0
19,12,1311.0
16,12,973.0
17,12,2612.0
1,12,13.0
2,12,24.0
13,25,132.5
18,25,132.5
12,25,192.0
29,25,229.66666666666666
31,25,229.66666666666666
35,25,229.66666666666666
33,25,146.0
7,25,47.0
5,25,111.0
6,25,111.0
37,25,96.0
39,25,147.0
14,25,42.5
15,25,42.5
19,25,158.0
16,25,154.0
17,25,272.0
1,25,16.0
2,25,16.0
13,29,82.33333333333333
13,31,82.33333333333333
13,35,82.33333333333333
18,29,82.33333333333333
18,31,82.33333333333333
18,35,82.33333333333333
12,29,155.33333333333334
12,31,155.33333333333334
12,35,155.33333333333334
25,29,361.3333333333333
25,31,361.3333333333333
25,35,361.3333333333333
29,31,102552.5
29,35,102552.5
31,29,102552.5
31,35,102552.5
35,29,102552.5
35,31,102552.5
33,29,11618.666666666666
33,31,11618.666666666666
33,35,11618.666666666666
7,29,33.0
7,31,33.0
7,35,33.0
5,29,61.166666666666664
5,31,61.166666666666664
5,35,61.166666666666664
6,29,61.166666666666664
6,31,61.166666666666664
6,35,61.166666666666664
37,29,4611.0
37,31,4611.0
37,35,4611.0
39,29,2283.3333333333335
39,31,2283.3333333333335
39,35,2283.3333333333335
14,29,25.0
14,31,25.0
14,35,25.0
15,29,25.0
15,31,25.0
15,35,25.0
19,29,89.66666666666667
19,31,89.66666666666667
19,35,89.66666666666667
16,29,70.33333333333333
16,31,70.33333333333333
16,35,70.33333333333333
17,29,125.33333333333333
17,31,125.33333333333333
17,35,125.33333333333333
1,29,3.6666666666666665
1,31,3.6666666666666665
1,35,3.6666666666666665
2,29,8.0
2,31,8.0
2,35,8.0
13,33,56.0
18,33,56.0
12,33,132.0
25,33,339.0
29,33,11739.666666666666
31,33,11739.666666666666
35,33,11739.666666666666
7,33,16.0
5,33,35.0
6,33,35.0
37,33,4856.0
39,33,3157.0
14,33,17.0
15,33,17.0
19,33,63.0
16,33,44.0
17,33,100.0
1,33,8.0
2,33,8.0
13,7,56.5
18,7,56.5
12,7,111.0
25,7,36.0
29,7,16.666666666666668
31,7,16.666666666666668
35,7,16.666666666666668
33,7,16.0
5,7,2695.5
6,7,2695.5
37,7,1.0
39,7,10.0
14,7,28.5
15,7,28.5
19,7,128.0
16,7,47.0
17,7,62.0
1,7,7.0
2,7,19.0
13,5,105.5
13,6,105.5
18,5,105.5
18,6,105.5
12,5,198.0
12,6,198.0
25,5,96.0
25,6,96.0
29,5,33.333333333333336
29,6,33.333333333333336
31,5,33.333333333333336
31,6,33.333333333333336
35,5,33.333333333333336
35,6,33.333333333333336
33,5,19.0
33,6,19.0
7,5,2598.0
7,6,2598.0
5,6,39323.5
6,5,39323.5
37,5,11.5
37,6,11.5
39,5,24.0
39,6,24.0
14,5,47.0
14,6,47.0
15,5,47.0
15,6,47.0
19,5,1294.5
19,6,1294.5
16,5,98.5
16,6,98.5
17,5,118.5
17,6,118.5
1,5,11.0
1,6,11.0
2,5,13.0
2,6,13.0
13,37,32.0
18,37,32.0
12,37,55.0
25,37,171.0
29,37,4517.0
31,37,4517.0
35,37,4517.0
33,37,5094.0
7,37,13.0
5,37,22.5
6,37,22.5
39,37,1762.0
14,37,9.5
15,37,9.5
19,37,33.0
16,37,30.0
17,37,53.0
1,37,2.0
2,37,0.0
13,39,42.5
18,39,42.5
12,39,103.0
25,39,176.0
29,39,1341.6666666666667
31,39,1341.6666666666667
35,39,1341.6666666666667
33,39,2663.0
7,39,5.0
5,39,27.5
6,39,27.5
37,39,976.0
14,39,8.5
15,39,8.5
19,39,36.0
16,39,25.0
17,39,77.0
1,39,2.0
2,39,10.0
13,14,4390.0
13,15,4390.0
18,14,4390.0
18,15,4390.0
12,14,3937.0
12,15,3937.0
25,14,50.5
25,15,50.5
29,14,16.5
29,15,16.5
31,14,16.5
31,15,16.5
35,14,16.5
35,15,16.5
33,14,19.0
33,15,19.0
7,14,26.5
7,15,26.5
5,14,66.75
5,15,66.75
6,14,66.75
6,15,66.75
37,14,7.5
37,15,7.5
39,14,22.0
39,15,22.0
14,15,108533.5
15,14,108533.5
19,14,234.5
19,15,234.5
16,14,7537.0
16,15,7537.0
17,14,7988.5
17,15,7988.5
1,14,4.0
1,15,4.0
2,14,6.0
2,15,6.0
13,19,789.5
18,19,789.5
12,19,1340.0
25,19,212.0
29,19,44.666666666666664
31,19,44.666666666666664
35,19,44.666666666666664
33,19,47.0
7,19,125.0
5,19,1342.0
6,19,1342.0
37,19,17.0
39,19,42.0
14,19,198.5
15,19,198.5
16,19,221.0
17,19,705.0
1,19,27.0
2,19,3.0
13,16,1544.5
18,16,1544.5
12,16,832.0
25,16,127.0
29,16,34.666666666666664
31,16,34.666666666666664
35,16,34.666666666666664
33,16,33.0
7,16,41.0
5,16,72.5
6,16,72.5
37,16,15.0
39,16,41.0
14,16,8824.5
15,16,8824.5
19,16,146.0
17,16,7489.0
1,16,3.0
2,16,13.0
13,17,6721.0
18,17,6721.0
12,17,2163.0
25,17,449.0
29,17,162.66666666666666
31,17,162.66666666666666
35,17,162.66666666666666
33,17,97.0
7,17,112.0
5,17,237.0
6,17,237.0
37,17,53.0
39,17,114.0
14,17,6322.0
15,17,6322.0
19,17,736.0
16,17,9637.0
1,17,14.0
2,17,40.0
13,1,18.5
18,1,18.5
12,1,60.0
25,1,24.0
29,1,10.0
31,1,10.0
35,1,10.0
33,1,5.0
7,1,25.0
5,1,33.0
6,1,33.0
37,1,4.0
39,1,10.0
14,1,5.0
15,1,5.0
19,1,20.0
16,1,19.0
17,1,23.0
2,1,853.0
13,2,4.0
18,2,4.0
12,2,2.0
25,2,6.0
29,2,1.3333333333333333
31,2,1.3333333333333333
35,2,1.3333333333333333
33,2,0.0
7,2,4.0
5,2,10.5
6,2,10.5
37,2,0.0
39,2,0.0
14,2,0.0
15,2,0.0
19,2,9.0
16,2,3.0
17,2,10.0
1,2,867.0
