arc_id,from_node_id,to_node_id,drive_dist_meters,drive_dist_km
1,1,76,9089,9
2,76,75,16778,17
3,75,2,21942,22
4,2,74,30458,30
5,74,73,2815,3
6,73,72,14581,15
7,72,71,25086,25
8,71,3,79684,80
9,3,4,26096,26
10,3,11,56868,57
11,4,10,21111,21
12,4,5,14976,15
13,5,6,16645,17
14,6,7,34251,34
15,6,10,31056,31
16,10,11,23248,23
17,11,40,41960,42
18,40,12,21726,22
19,12,13,17651,18
20,13,14,18596,19
21,14,15,2916,3
22,15,16,16054,16
23,16,41,11545,12
24,41,17,42214,42
25,13,18,25266,25
26,18,17,38584,39
27,17,42,52459,52
28,42,21,66121,66
29,6,49,52466,52
30,49,19,21865,22
31,19,20,21810,22
32,20,21,89559,90
33,21,43,56133,56
34,43,44,54886,55
35,44,45,23421,23
36,45,46,16700,17
37,46,47,48956,49
38,47,48,33629,34
39,48,22,60330,60
40,6,8,28332,28
41,8,9,35110,35
42,9,19,22878,23
43,19,50,31532,32
44,50,23,17650,18
45,23,51,37794,38
46,51,24,24275,24
47,52,53,11824,12
48,53,54,28699,29
49,54,25,13927,14
50,25,55,9533,10
51,55,56,10704,11
52,56,57,8938,9
53,57,58,14519,15
54,58,59,12864,13
55,59,60,21323,21
56,60,61,14663,15
57,61,62,9210,9
58,62,63,8935,9
59,63,64,8265,8
60,64,65,33204,33
61,65,26,25163,25
62,26,66,16336,16
63,66,22,23443,23
64,22,67,23843,24
65,67,68,47360,47
66,68,27,27806,28
67,27,28,31322,31
68,28,29,13231,13
69,29,32,27307,27
70,27,38,8734,9
71,38,35,34195,34
72,35,34,5297,5
73,34,33,62023,62
74,34,32,22206,22
75,32,31,12184,12
76,35,36,10932,11
77,36,37,58662,59
78,37,69,14099,14
79,33,70,63256,63
80,70,39,64300,64
81,24,52,33692,34
82,36,34,5224,5
83,32,33,56746,57
84,28,35,27313,27
85,41,18,25062,25
86,18,20,82034,82
